TMALPI_LH,Magnetizing Prayer,༄༅། །དབང་སྡུད་གསོལ་འདེབས།
TMA6CA_LH,Wondrous Light of the Moon A Prayer for the Swift Appearance of the Supreme Tulku of Vajradhara Jamyang Loter Wangpo,༄༅། །རྡོ་རྗེ་འཆང་འཇམ་དབྱངས་བློ་གཏེར་དབང་པོའི་མཆོག་སྤྲུལ་མྱུར་འབྱོན་གསོལ་འདེབས་ངོ་མཚར་ཟླ་སྣང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMDDXT_LH,Prayer of Transference 1,༄༅། །གསོལ་འདེབས་ཚུལ་དུ་འཕོ་བ།
TMFS90_LH,Verses for Accumulating the Tsok Offering of the Combined Practice of the Three Roots (Tsasum Drildrup),༄༅། །རྩ་གསུམ་དྲིལ་བསྒྲུབ་ཀྱི་ཚོགས་མཆོད་གྲངས་གསོག་བཞུགས།
TM8QFH_LH,Verses for Accumulating the Tsok Offering to the Great Compassionate One,༄༅། །ཐུགས་རྗེ་ཆེན་པོའི་ཚོགས་གྲངས་གསོགས།
TMFALQ_LH,Aspiration for the Spread of the Khyentse Tradition 1,༄༅། །མཁྱེན་བརྩེའི་རིང་ལུགས་བསྟན་པ་དར་རྒྱས་སྨོན་ལམ།
TMV3Y8_LH,The Chariot of the Vidyādharas An Aspiration Prayer for Travelling to the Realm of Lotus Light,༄༅། །པདྨ་འོད་དུ་བགྲོད་པའི་སྨོན་ལམ་རིག་པ་འཛིན་པའི་ཤིང་རྟ་བཞུགས་སོ། །
TMOD7F_LH,Single-Verse Auspiciousness Prayer of the Three Long-Life Deities,༄༅། །ཚེ་ལྷ་རྣམ་གསུམ་གྱི་བཀྲ་ཤིས་ཤློ་ཀ་གཅིག
TM640I_LH,Nectar Shower of Blessings A Song of Yearning Devotion Recalling the Everpresent Gurus,༄༅། །ཁྱབ་བདག་བླ་མ་རྗེས་སུ་དྲན་པའི་གདུང་དབྱངས་བྱིན་རླབས་བདུད་རྩིའི་ཆར་འབེབས་བཞུགས། །
TMG49K_LH,The Hook of Compassion Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་ཐུགས་རྗེའི་ལྕགས་ཀྱུ།
TME3BE_LH,Guide to Narak Kong Shak,༄༅། །ན་རཀ་སྐོང་བཤགས་ཀྱི་བཀླག་ཐབས།
TMYKHG_LH,"The Rain of Virtue and Goodness A Short Practice for Consecrating Representations of Enlightened Body, Speech and Mind The Extremely Concise Version Introduction 1. Elimination of Obstacles i. Peaceful ii. Semi-Wrathful iii. Wrathful a. Invocation b. Offering c. Praise d. Purifying with Subjugating Activity 2. Cleansing Ritual Drying with Finest Cloths Offering Garments 3. Generation of the Deities 4. Invitation 5. Invocation and Dissolution of the Jñānasattva into the Samayasattva 6. Sealing 7. Empowerment For dressing in armour recite: 8. Opening the Eyes 9. Transformation of the Representations 10. Offering and Praise 11. Prayer Mantra of The Essence of Interdependent Origination:",༄༅། །རྟེན་གསུམ་རབ་ཏུ་གནས་པའི་ཆོ་ག་སྙིང་པོར་དྲིལ་བ་དགེ་ལེགས་ཆར་འབེབ་ཅེས་བྱ་བ་བཞུགས་སོ། །
TMJFVC_LH,A Concise and Essential Offering Ritual for the Guardians of the Doctrine from The Wish-Fulfilling Jewel Guru Heart-Practice,༄༅། །བླ་མའི་ཐུགས་སྒྲུབ་ཡིད་བཞིན་ནོར་བུ་ལས། གཏེར་སྲུང་མཆོད་པའི་ཕྲིན་ལས་མདོར་བསྡུས་སྙིང་པོར་དྲིལ་བ་བཞུགས་སོ། །
TMIJBS_LH,Brief Petitionary Offering to the Five Achi Sisters,༄༅། །ཨ་ཕྱི་མཆེད་ལྔའི་གསོལ་མཆོད་མདོར་བསྡུས།
TMT5G8_LH,The Offering-Clouds of Samantabhadra A Concise Confession and Fulfilment Practice of the Three Roots,༄༅། །རྩ་གསུམ་སྐོང་བཤགས་ཉེར་བསྡུས་ཀུན་བཟང་མཆོད་སྤྲིན་བཞུགས།
TMH2B0_LH,"The Vajra Lute A Brief Fulfilment for the Guru Practice of Vidyādhara-Assembly, from the Heart Essence of the Vast Expanse",༄༅།  །ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས། བླ་མ་རིག་འཛིན་འདུས་པའི་སྐོང་བསྡུས་རྡོ་རྗེའི་རྒྱུད་མང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMQ311_LH,A Shortcut to the Siddhi of Immortality Guru Yoga of Union with the Three Deities of Long Life,༄༅། །ཚེ་ལྷ་རྣམ་གསུམ་ལ་བསྟེན་པའི་བླ་མའི་རྣལ་འབྱོར་འཆི་མེད་གྲུབ་པའི་གསེང་ལམ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMG0MN_LH,The Swift Infusion of Blessings Prayer and Aspiration for the Stages of the Path Combined with Guru Yoga,༄༅། །བླ་མའི་རྣལ་འབྱོར་དང་འབྲེལ་བའི་གསོལ་འདེབས་དང་ལམ་རིམ་སྨོན་ལམ་བྱིན་རླབས་མྱུར་འཇུག་ཅེས་བྱ་བ་བཞུགས་སོ།  །
TMLTV9_LH,Treasury of Supreme Blessings: A Guru Yoga Visualization of the Support for Accumulation Seven-Branch Offering Prayer,༄༅། །བླ་མའི་རྣལ་འབྱོར་བྱིན་རླབས་མཆོག་གཏེར།
TM930L_LH,Wellspring of Bounty for the Fortunate A Guru Yoga of the Three Family Lords Refuge and Bodhicitta Visualization Seven Branches Prayer Receiving Empowerment,༄༅། །རིགས་གསུམ་བླ་མའི་རྣལ་འབྱོར་སྐལ་བཟང་འདོད་འཇོ་བཞུགས་སོ། །
TMEIQZ_LH,A Shower of Great Bliss A Prayer to the Lineage of the Vajrasattva Guru Yoga,༄༅། །རྡོ་རྗེ་སེམས་དཔའ་ལ་བརྟེན་པའི་བླ་མའི་རྣལ་འབྱོར་གྱི་བརྒྱུད་འདེབས་བདེ་ཆེན་ཆར་འབེབས་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMHBLH_LH,Bestower of the Light of Intelligence A Prayer to the Lineage of the Profound Sādhana Based Upon the Praise to Venerable Mañjughoṣa,༄༅། །རྗེ་བཙུན་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་སྒྲུབ་ཟབ་མོའི་བླ་མ་བརྒྱུད་པའི་གསོལ་འདེབས་བློ་གྲོས་སྣང་སྟེར་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM7P5H_LH,Brief Prayer to the Earlier and Later Terma Lineages,༄༅། །གཏེར་ཁ་གོང་འོག་གི་བརྒྱུད་པའི་གསོལ་འདེབས་མདོར་བསྡུས་གསུང་རྒྱུན་མ་བཞུགས་སོ། །
TM7VX6_LH,"Prayer to the Lineage of the Great Heart-Essence, the Pith Instruction Section of the Great Perfection",༄༅། །རྫོགས་པ་ཆེན་པོ་མན་ངག་སྡེ་སྙིང་ཏིག་ཆེན་མོའི་བརྒྱུད་པའི་གསོལ་འདེབས།
TMYO1K_LH,"Source of Magnificent Blessing A Prayer to the Lineage of the Secret Practice of the Great Compassionate One, Natural Liberation of Suffering",༄༅། །གསང་སྒྲུབ་ཐུགས་རྗེ་ཆེན་པོ་སྡུག་བསྔལ་རང་གྲོལ་གྱི་བརྒྱུད་འདེབས་བྱིན་རླབས་དཔལ་སྟེར་བཞུགས།
TMWXY3_LH,Supplement to the Omniscient Ngorchen Kunga Zangpo’s Prayer to the Lineage of Parting from the Four Attachments,༄༅། །ངོར་ཆེན་ཐམས་ཅད་མཁྱེན་པ་ཀུན་དགའ་བཟང་པོས་མཛད་པའི་བློ་སྦྱོང་ཞེན་པ་བཞི་བྲལ་གྱི་བརྒྱུད་འདེབས་ཀྱི་ཁ་སྐོང་ནི།
TMSGL4_LH,The Fully Blossomed Flower of Faith A Prayer to the Twenty-Five Founders of Buddha's Teachings in Tibet,༄༅། །གངས་ཅན་བསྟན་པའི་སྲོལ་འབྱེད་ཆེན་པོ་ཉེར་ལྔ་ལ་གསོལ་འདེབས་དད་པའི་མེ་ཏོག་བཞུགས།
TMYATO_LH,A Garland of Utpala Flowers Prayer to the Masters of the Lineage of Zabtik Drolchok,༄༅། །དགོངས་གཏེར་སྒྲོལ་མའི་བརྒྱུད་འདེབས་ཨུཏྤ་ལའི་ཕྲེང་བ་བཞུགས།
TM9VXN_LH,The Rain of Enlightened Activity A Prayer to the Gurus of the Lineage of the Vital Essence of the Aural Transmission Kīla,༄༅། །སྙན་བརྒྱུད་ཕུར་པའི་གནད་ཏིག་གི་བརྒྱུད་པའི་བླ་མ་རྣམས་ལ་གསོལ་བ་འདེབས་པ་ཕྲིན་ལས་ཆར་འབེབ་ཅེས་བྱ་བ་བཞུགས་སོ། །
TMNBE0_LH,The Seed of Faith A Prayer to the Sublime Ones,༄༅། །ཡུལ་དམ་པ་རྣམས་ལ་གསོལ་བ་འདེབས་པ་དད་པའི་ས་བོན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMX35D_LH,"The Shower of Blessings A Prayer to the Lineage of The Sealed Quintessence, the Innermost Secret Guru Practice",༄༅། །ཡང་གསང་བླ་མའི་སྒྲུབ་པ་ཐིག་ལེའི་རྒྱ་ཅན་གྱི་བརྒྱུད་འདེབས་བྱིན་རླབས་ཆར་འབེབ་བཞུགས་སོ།།
TMZD2Y_LH,The Shower of Great Bliss A Prayer to the Lineage of the Female Awareness-Holder (Yumka),༄༅། །རིག་འཛིན་ཡུམ་བཀའི་བརྒྱུད་འདེབས་བདེ་ཆེན་ཆར་འབེབས་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMAWLQ_LH,"Prayer for the Long Life of the Third Dodrupchen, Jigme Tenpai Nyima",༄༅། །རྡོ་གྲུབ་སྐུ་ཕྲེང་གསུམ་པའི་ཞབས་བརྟན་ཀུན་བཟང་འཇིགས་མེད་མ།
TM3HPT_LH,Longevity Practice for the Peaceful and Wrathful Deities of Droltik,༄༅། །གྲོལ་ཏིག་ཞི་ཁྲོའི་ཚེ་སྒྲུབ།
TMJZDH_LH,"The Summoning of Longevity from Chimé Pakmé Nyingtik, 'The Heart-Essence of the Sublime Lady of Immortality'",༄༅། །ཚེ་འགུགས།
TM6WY7_LH,Words of Advice on Accomplishing Immortality An Extremely Concise Daily Practice Uniting the Short Lineages of Amitāyus and Hayagrīva Refuge and Bodhicitta Visualization Invocation and Mantra Conclusion,༄༅། །ཉེ་བརྒྱུད་ཚེ་རྟ་ཟུང་འབྲེལ་གྱི་རྒྱུན་ཁྱེར་ཤིན་ཏུ་བསྡུས་པ་འཆི་མེད་གྲུབ་པའི་ཞལ་ལུང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMBYM5_LH,The Excellent Path to Enlightenment A Brief Practice of the Preliminaries The Four Thoughts Refuge and Bodhicitta Vajrasattva Maṇḍala Offering Guru Yoga,༄༅། །སྔོན་འགྲོ་མདོར་བསྡུས་བྱང་ཆུབ་ལམ་བཟང་བཞུགས་སོ། །
TM9E76_LH,A Brief Practice of Consecrating Amṛta for the Vidyādhara Assembly 1,༄༅། །རིག་འདུས་བདུད་རྩི་ཆིག་སྒྲུབ།
TMWRMK_LH,Concise Seven-Heap Maṇḍala Offering Extremely Concise Offering Verses,༄༅། །མཎྜལ་བསྡུས་པ་ཚོམ་བུ་བདུན་པ།
TMZS3Z_LH,Offering the Eight Auspicious Substances and Seven Emblems of Royalty Eight Auspicious Substances Seven Emblems of Royalty,༄༅། །རྫས་བརྒྱད་སྣ་བདུན་སྦྱིན་ཚུལ།
TMZGUT_LH,Short Maṇḍala Offering,༄༅། །མཎྜལ་བསྡུས་པ་བཞུགས།
TMJ63A_LH,The Offering Clouds of the Indestructible Ladies of Sound Concise Garland of Offerings of the Sixteen Vajra Goddesses,༄༅། །རྡོ་རྗེའི་ལྷ་མོ་བཅུ་དྲུག་གི་མཆོད་ཕྲེང་མདོར་བསྡུས་པ་རྡོ་རྗེ་སྒྲ་མའི་མཆོད་སྤྲིན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMOXZF_LH,In Praise of Jamyang Khyentse Wangpo,༄༅། །འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོ་ལ་བསྟོད་པ་བཞུགས། །
TMTBX7_LH,Music to Delight the Ḍākinī A Praise to the Deathless Mandāravā,༄༅། །འཆི་མེད་མནྡཱ་ར་བ་ལ་བསྟོད་པ་ཌཱ་ཀི་དགྱེས་པའི་རོལ་མོ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMSFOZ_LH,"A Short Prayer Based on the Life and Liberation of the All-Knowing, All-Seeing Jamyang Khyentse Wangpo",༄༅། །ཐམས་ཅད་མཁྱེན་ཅིང་གཟིགས་པ་འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་རྣམ་ཐར་གསོལ་འདེབས་མདོར་བསྡུས།
TM80RC_LH,Great Pangs of Devotion A Prayer to the Gurus and Three Roots in General and Especially the Two Thartsé Khenchen Vajradhara Brothers and Jamyang Khyentse Wangpo,༄༅། །བླ་མ་རྩ་གསུམ་སྤྱི་དང་ཁྱད་པར་དྲན་པས་གདུང་སེལ་ཐར་རྩེ་མཁན་ཆེན་རྡོ་རྗེ་འཆང་མཆེད་གཉིས་དང་།  མཁྱེན་བརྩེའི་དབང་པོར་གསོལ་འདེབས་མོས་གུས་ཀྱི་གཟེར་ཆེན་ཞེས་བྱ་བ་བཞུགས་སོ།།
TMFR31_LH,Prayer from the Vima Nyingtik,༄༅། །བི་མ་སྙིང་ཐིག་གི་གསོལ་འདེབས།
TM03W6_LH,"Prayer to Chökyi Wangpo, the Bodhisattva 1 and Tamer of Beings",༄༅། །འགྲོ་འདུལ་རྒྱལ་བའི་མྱུ་གུ་ཆོས་ཀྱི་དབང་པོར་གསོལ་བ་འདེབས་བཞུགས་སོ།།
TMZHAN_LH,Prayer to Jamgön Kongtrul 1,༄༅། །འཇམ་མགོན་ཀོང་སྤྲུལ་གྱི་གསོལ་འདེབས།
TMXG3Y_LH,Prayer for Ngawang Sherab 1,༄༅། །ངག་དབང་ཤེས་རབ་ཀྱི་ངོར་སྨྲས་པའི་གསོལ་འདེབས།
TMDNRU_LH,A Prayer to Jamyang Khyentse Wangpo,༄༅། །འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོ་ལ་གསོལ་འདེབས་བཞུགས། །
TMXAB3_LH,Prayer to Jamyang Khyentse Wangpo,༄༅། །འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་གསོལ་བ་འདེབས།
TMJUJJ_LH,Prayer to Jamyang Khyentse Wangpo and Jamyang Khyentse Chökyi Lodrö 1,༄༅། །འཇམ་དབྱངས་མཁྱེན་བརྩེ་སྐུ་གོང་འོག་གི་གསོལ་འདེབས།
TMKCAC_LH,"Prayer to Jamyang Khyentse Wangpo, Jamgön Kongtrul and Jamyang Khyentse Chökyi Lodrö",༄༅། །མཁྱེན་ཀོང་གཉིས་དང་རྩ་བའི་བླ་མའི་གསོལ་འདེབས། །
TMY7C3_LH,"Prayer to Khyentse, Kongtrul and Chokling",༄༅། །མཁྱེན་ཀོང་མཆོག་གསུམ་གྱི་གསོལ་འདེབས་བཞུགས།
TM2EVW_LH,"Prayer to Khyentse, Kongtrul and Chokling 1",༄༅། །མཁྱེན་ཀོང་མཆོག་གསུམ་གྱི་གསོལ་འདེབས།
TMDWNW_LH,"Prayer to Root and Lineage Masters, and the Assembly of Deity, Ḍākinīs and Dharma Protectors of the Sakya Lineage",༄༅། །ས་སྐྱའི་རྩ་བརྒྱུད་བླ་མ་དང་ཡི་དམ་མཁའ་འགྲོ་ཆོས་སྐྱོང་རྣམས་ལ་གསོལ་འདེབས་བཞུགས། །
TM4EWE_LH,Prayer to Thangtong Gyalpo,༄༅། །ཐང་སྟོང་རྒྱལ་པོར་གསོལ་འདེབས།
TMAQ2Z_LH,Prayer to the Siddha Virūpa,༄༅། །བིར་ཝ་གྲུབ་པའི་གསོལ་འདེབས། །
TMX5A9_LH,Supplication to Lord Buddha together with the Sixteen Arhats,༄༅། །ཐུབ་པ་གནས་བརྟན་བཅུ་དྲུག་དང་བཅས་པ་གསོལ་བ་འདེབས་པ།
TMKLNM_LH,The Melodious Sound of Gathering Auspiciousness A Prayer Based on the Liberational Life of the Omniscient Jamyang Khyentse Wangpo,༄༅། །ཀུན་མཁྱེན་འཇམ་དབྱངས་མཁྱེན་བརྩེའི་དབང་པོའི་རྣམ་ཐར་གསོལ་འདེབས་བཀྲ་ཤིས་འཁྱིལ་བའི་སྒྲ་དབྱངས་ཞེས་བྱ་བ་བཞུགས།།
TMGX6S_LH,The Melody of Complete Accomplishment A Prayer to Those Praised as Ornaments of the Practice Lineage,༄༅། །སྒྲུབ་བརྒྱུད་བསྟན་པའི་བཙས་སུ་བསྔགས་པའི་གསོལ་འདེབས་དོན་ཀུན་གྲུབ་པའི་དབྱངས་སྙན་ཞེས་བྱ་བ་བཞུགས་སོ།།
TM8M3D_LH,The Sweet-Sounding Song that Fulfils All Aims A Prayer to Noble Tārā Combined with Her Root Mantra,༄༅།  །འཕགས་མ་སྒྲོལ་མ་ལ་རྩ་སྔགས་དང་སྦྱར་བའི་སྒོ་ནས་གསོལ་བ་འདེབས་པ་དོན་ཀུན་གྲུབ་པའི་དབྱངས་སྙན་ཞེས་བྱ་བ་བཞུགས་སོ།།
TMV6YW_LH,"The Yearning Song that Swiftly Inspires Compassion A Prayer to the Vajradhara Gurus, the Gentle Protectors",༄༅། །འཇམ་མགོན་རྡོ་རྗེ་འཆང་ལ་གསོལ་བ་འདེབས་པ་ཐུགས་རྗེ་མྱུར་འཇུག་གི་གདུང་དབྱངས་ཞེས་བྱ་བ།
TMN8A4_LH,Words of Jamyang Khyentse,༄༅། །འཇམ་དབྱངས་མཁྱེན་བརྩེའི་གསུང་།།
TMNTXS_LH,"A Beautiful and Wondrous Uḍumbara Garland A Supplication and Summary 1 of the Epic of Padma, The Life and Liberation of the Precious Guru of Uḍḍiyāna",༄༅། །ཨོ་རྒྱན་གུ་རུ་རིན་པོ་ཆེའི་རྣམ་ཐར་བཀའི་ཐང་ཡིག་གི་དོན་བསྡུས་གསོལ་འདེབས་ངོ་མཚར་ཨུ་དུམྦ་རའི་ཕྲེང་མཛེས་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMEN8H_LH,A Brief Prayer to the Precious Master Padmākara for Swiftly Fulfilling Wishes,༄༅། །སློབ་དཔོན་རིན་པོ་ཆེ་པདྨ་འབྱུང་གནས་ལ་གསོལ་འདེབས་པ་བསམ་དོན་མྱུར་འགྲུབ་བཞུགས། །
TM8P1X_LH,Essence of the Profound Path A General Visualization for Prayers to Guru Rinpoche 1. Taking Refuge 2. Arousing the Awakened Mind of Bodhicitta 3. The Seven-Branch Offering 4. The Main Visualization 5. Empowerment and Dissolution 6. Dedication of Merit,༄༅། །ཨོ་རྒྱན་རིན་པོ་ཆེའི་གསོལ་འདེབས་སྤྱིའི་རྟེན་བསྐྱེད་མདོར་བསྡུས་ལམ་ཟབ་སྙིང་པོ་བཞུགས་སོ།།
TMEIGJ_LH,"Turning Back Obstacles and Adverse Circumstances A Prayer to Orgyen Rinpoche, Embodiment of All Sources of Refuge",༄༅། །སྐྱབས་གནས་ཀུན་འདུས་ཨོ་རྒྱན་རིན་པོ་ཆེ་ལ་གསོལ་འདེབས་བར་ཆད་རྐྱེན་བཟློག་ཅེས་བྱ་བ་བཞུགས། །
TM139G_LH,"Wish-Fulfilling Feast of Siddhis An Aspiration Prayer to Orgyen Rinpoche, the Precious Master of Oḍḍiyāna",༄༅། །བླ་མ་ཨོ་རྒྱན་རིན་པོ་ཆེ་ལ་གསོལ་འདེབས་སྨོན་ལམ་དུ་བྱ་བ་དངོས་གྲུབ་འདོད་འཇོའི་དགའ་སྟོན་བཞུགས།
TMWIW5_LH,A Concise Ritual for the Kings’ Posts,༄༅། །རྒྱལ་ཐོ་བསྡུས་པ་བཞུགས་སོ། །
TM0T6W_LH,"Activities for Uncovering Primordial Wisdom from the Chimé Pakmé Nyingtik, ‘The Heart-Essence of the Sublime Lady of Immortality’ The Preliminaries 1. Taking Refuge 2. Generating Bodhicitta 3. Seven-Branch Offering 4. Gektor 5. Visualizing the Protective Spheres 6. Descent of Blessings 7. Blessing the Offerings II. The Main Practice 2. Inviting the Jñānasattvas 3. Requesting the Jñānasattvas to Remain 4. Prostration 5. Offerings 6. Offering Praise with Vajra Song 7. Mantra Recitation a. Approach b. Accomplishment c. Activity The Offering of the Tsok of Great Bliss Blessing the Offerings Inviting the Deities Descent of Blessings Offering the First Portion Second Offering Remainder Offering Aspiration Prayer Conclusion Cheto Offering Tenma Offering Vajra Dance III. Conclusion 1. Offering, Praise and Accomplishments 2. Confession 3. Dissolution 4. Reappearance 5. Dedication 6. Aspiration Prayer 7. Prayer of Auspiciousness",༄༅། །འཆི་མེད་འཕགས་མའི་སྙིང་ཐིག་ལས༔ ཕྲིན་ལས་ཡེ་ཤེས་སྣང་བ༔
TM9M42_LH,Fast Track to Happiness and Peace A Very Brief Meditation and Recitation of the Medicine Buddha Refuge and Bodhicitta The Visualization The Mantra Practice Offerings Praise Request Invitation to Depart Dedication,༄༅། །སྨན་བླའི་སྒོམ་བཟླས་ཤིན་ཏུ་བསྡུས་པ་ཕན་བདེའི་མྱུར་ལམ།
TM3TXZ_LH,"Net of the Illusory Display The Root Sādhana from the Heart-Essence of the Deathless Lake-Born Vajra I. The Preliminaries A. Taking Refuge B. Rousing the Bodhicitta of Aspiration and Application C. The Seven Branches D. Giving the Preliminary Torma E. Visualizing the Protection Circle F. Making Wisdom-Resplendence Rain Down G. Consecrating the Offering Substances II. The Main Part A. The Generation Practice Inviting the Wisdom Beings B. The Stages of Accomplishment Homage, Offerings, and Praise The Awakened Intent of the Mantra Recitation C. Applying the Activities The Feast Offering Between Sessions Consecrating the Gathering Substances Inviting the Field of Accumulation Offering the First Portion The Second Offering for Confessing Broken Samayas Finally, Performing and Offering the Liberation Offering the Residuals Proclaiming to the Guardians the Pledges They Made in the Past Nurturing the Tenmas with the Rinsing Water Concluding the Activities with the Vajra Dance III. The Concluding Stages A. Receiving the Siddhis B. Confessing Mistakes C. The Practice of Dissolution D. Eliminating the Extreme of Nihilism E. Dedicating the Merit F. Making Aspirations G. Making Prayers for Auspiciousness",དྷཱི།༔ འཆི་མེད་མཚོ་སྐྱེས་སྙིང་ཏིག་ལས༔ རྩ་བའི་སྒྲུབ་ཐབས་སྒྱུ་འཕྲུལ་དྲྭ་བ་བཞུགས་སོ༔
TM1ERS_LH,"The Chariot Bound for Sukhāvatī, the Blissful Realm A Liturgy for Cultivating Buddha Amitābha’s Pure Realm I. The Preliminaries A. Preparations to Be Made Before Beginning the Ritual B. The Preparatory Rituals 1. Taking Refuge 2. Generating Bodhicitta 3. A Supplementary Consecration of the Place and Articles II. The Main Part A. Visualizing the Field of Accumulation Extending the Invitation Bathing the Buddhas Offering Them a Bath Drying Their Bodies Offering Clothes and Ornaments Requesting Them to Be Seated B. Gathering the Accumulations 1. Offering the Seven Branches a. Paying Homage b. Presenting Offerings 3. Performing the Remaining Branches of Confessing Misdeeds and the Rest Confession Rejoicing Imploring the Buddhas to Turn the Wheel of Dharma Requesting the Buddhas Not to Enter Nirvāṇa Dedication 2. Invoking Their Wisdom Hearts Through Recitation a. Performing the Recitation Activity The Recitation Visualization 3. Training in the Visualizations for Cultivating the Pure Realm C. Making Aspirations III. The Concluding Rituals A. Making Thanksgiving Offerings 1. Prostration 2. Offering 3. Confession 4. Rejoicing 5. Imploring the Buddhas to Turn the Wheel of Dharma 6. Requesting the Buddhas Not to Enter Nirvāṇa 7. Dedication B. The Dissolution Practice C. Dedication, Aspirations, and Prayers for Auspiciousness",༄༅། །བཅོམ་ལྡན་འདས་མགོན་པོ་འོད་དཔག་ཏུ་མེད་པའི་སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་སྦྱོང་བའི་ཆོ་ག་བདེ་བ་ཅན་དུ་བགྲོད་པའི་ཤིང་རྟ།
TMZME3_LH,"The Essence of Cintāmaṇi A Daily Practice of the Great Compassionate One, Wish-fulfilling Wheel I. The Preliminaries II. The Main Part III. The Conclusion",༄༅། །ཐུགས་རྗེ་ཆེན་པོ་ཡིད་བཞིན་འཁོར་ལོའི་རྒྱུན་ཁྱེར་ཙིནྟཱ་མ་ཎིའི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMGYFY_LH,"The Essential Activity Manual for the Awesome Ones’ Assembly, the Heart Practice of Vidyādharas, from the Heart Essence of the Vast Expanse 1. Gathering the Accumulations 2. Establishing the Boundary 3. Blessing the Offerings 4. Generating the Deity 5. Granting the Empowerment 6. Inviting the Wisdom Deities 7. Requesting Them to Remain 8. Paying Homage 9. Making Offerings 10. Offering Praise 11. Mantra recitation 1. The Peaceful Approach 2. The Wrathful Accomplishment 3. Application of Activities 12. The Feast-gathering The Blessing The Invitation The First Portion The Intermediate Offering of Confession The Liberation Dedicating the Remainder Aspiration Prayer 13. The Conclusion 1. Receiving the Accomplishments 2. Confession of Mistakes 3. The Dissolution and Re-emergence 4. Dedication and Aspiration 5. Prayer of Auspiciousness",༄། །ཀློང་ཆེན་སྙིང་གི་ཐིག་ལེ་ལས། རིག་འཛིན་ཐུགས་སྒྲུབ་དཔལ་ཆེན་འདུས་པའི་ཕྲིན་ལས་སྙིང་པོར་དྲིལ་བ་བཞུགས་སོ།།
TMCQVN_LH,The Essence of Wish-Fulfilling Jewels A Brief Practice for Paying Homage and Making Offerings to the Buddha Together with His Retinue of Arhats Refuge and Bodhicitta Blessing the Environment Invocation,༄༅།  །ཐུབ་དབང་གནས་བརྟན་འཁོར་བཅས་ལ་ཕྱག་མཆོད་བྱ་ཚུལ་མདོར་བསྡུས་པ་ཡིད་བཞིན་ནོར་བུའི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM75AG_LH,"The Single Mudrā A Daily Practice for the Awesome Ones’ Assembly (Palchen Düpa), the Heart Practice of the Awareness-Holders 1. The Main Part 1. The Preliminaries of Gathering the Accumulations 2. The Main Part of Generation and Recitation 1. The Generation of the Deity 2. The Mantra Recitation 1. The Approach 2. The Accomplishment 3. The Concluding Practices The Dissolution and Re-emergence Dedication 2. An Additional Practice",༄༅། །རིག་འཛིན་ཐུགས་སྒྲུབ་དཔལ་ཆེན་འདུས་པའི་རྒྱུན་ཁྱེར་ཕྱག་རྒྱ་གཅིག་པ་བཞུགས་སོ། །
TM4P8S_LH,The Single-Form Daily Practice from Chimé Pakmé Nyingtik (The Heart-Essence of the Sublime Lady of Immortality) I. The Preliminary 1. Taking Refuge 2. Generating Bodhicitta II. The Main Practice 1. Meditation on the Deity a) Visualization of the Samayasattvas b) Inviting and Absorbing the Jñānasattvas Paying Homage Offerings Praise c) Focusing the Mind on the Form of the Deity 2. The Mantra Recitation III. Conclusion Offerings Praise Confession of Mistakes in Practice Dissolution Dedication,༄༅། །འཆི་མེད་འཕགས་མའི་སྙིང་ཏིག་ལས། རྒྱུན་གྱི་རྣལ་འབྱོར་ཕྱག་རྒྱ་གཅིག་པ།
TMZGM7_LH,"The Visualization of the Four Goddesses of the Great Compassionate One, Natural Liberation of Suffering",༄༅། །ཐུགས་རྗེ་ཆེན་པོ་སྡུག་བསྔལ་རང་གྲོལ་གྱི་སེམས་མ་བཞིའི་མངོན་རྟོགས་ནི།
